word	count
the	1061396
of	593677
and	416629
one	411764
in	372201
a	325873
to	316376
zero	264975
nine	250430
two	192644
is	183153
as	131815
eight	125285
for	118445
s	116710
five	115789
three	114775
was	112807
by	111831
that	109510
four	108182
six	102145
seven	99683
with	95603
on	91250
are	76527
it	73334
from	72871
or	68945
his	62603
an	61925
be	61281
this	58832
which	54788
at	54576
he	53573
also	44358
not	44033
have	39712
were	39086
has	37866
but	35358
other	32433
their	31523
its	29567
first	28810
they	28553
some	28161
had	28100
all	26229
more	26223
most	25563
can	25519
been	25383
such	24413
many	24096
who	23997
new	23770
used	22737
there	22707
after	21125
when	20623
into	20484
american	20477
time	20412
these	19864
only	19463
see	19206
may	19115
than	18807
world	17949
i	17581
b	17516
would	17377
d	17236
no	16155
however	15861
between	15737
about	15574
over	15122
years	14935
states	14916
people	14696
war	14629
during	14578
united	14494
known	14437
if	14420
called	14151
use	14011
th	13380
system	13296
often	12987
state	12904
so	12722
history	12623
will	12560
up	12445
while	12363
where	12347
city	12275
being	11931
english	11868
then	11847
any	11803
both	11755
under	11753
out	11721
made	11701
well	11537
her	11536
e	11426
number	11399
government	11323
them	11285
m	10976
later	10971
since	10691
him	10629
part	10627
name	10572
c	10561
century	10550
through	10371
because	10332
x	10307
university	10195
early	10172
life	10096
british	10056
year	9858
like	9854
same	9774
including	9633
became	9591
example	9539
day	9534
each	9500
even	9412
work	9388
language	9375
although	9286
several	9168
form	9133
john	8956
u	8928
national	8904
very	8861
much	8822
g	8773
french	8736
before	8700
general	8659
what	8581
t	8491
against	8432
n	8372
high	8337
links	8312
could	8304
based	8244
those	8209
now	8206
second	8110
de	8002
music	7987
another	7933
large	7898
she	7896
f	7878
external	7862
german	7858
different	7797
modern	7790
great	7770
do	7763
common	7698
set	7682
list	7672
south	7628
series	7611
major	7585
game	7553
power	7522
long	7488
country	7481
king	7456
law	7435
group	7417
film	7400
still	7378
until	7368
north	7328
international	7262
term	7219
we	7118
end	7113
book	7110
found	7043
own	7034
political	6970
party	6943
order	6908
usually	6872
president	6865
church	6786
you	6690
death	6684
theory	6604
area	6591
around	6576
include	6531
god	6518
ii	6494
way	6433
did	6419
military	6410
population	6400
using	6384
though	6362
small	6361
following	6300
within	6238
non	6220
left	6184
human	6184
main	6166
among	6146
point	6141
r	6064
due	6056
p	6001
considered	5985
public	5976
popular	5967
computer	5874
west	5862
family	5857
east	5854
information	5844
important	5843
european	5806
man	5778
sometimes	5761
right	5758
old	5711
free	5684
word	5678
without	5661
last	5654
us	5652
